id;node_name;cpu_usage;ram_usage;uptime;created_at
1122;prx2;0.15;4.71;521861;2025-12-19 15:16:21.833539+00:00
1121;prx3;1.3;24.15;521902;2025-12-19 15:16:19.555408+00:00
1120;prx3;1.95;24.14;521895;2025-12-19 15:16:12.550884+00:00
1119;prx2;0.15;4.7;521845;2025-12-19 15:16:06.614449+00:00
1118;prx3;1.51;24.16;521887;2025-12-19 15:16:04.252625+00:00
1117;prx3;0.84;24.15;521880;2025-12-19 15:15:57.275685+00:00
1116;prx2;0.15;4.7;521830;2025-12-19 15:15:51.390282+00:00
1115;prx3;0.68;24.15;521871;2025-12-19 15:15:48.969711+00:00
1114;prx3;0.8;24.15;521864;2025-12-19 15:15:42.008815+00:00
1113;prx2;0.15;4.7;521815;2025-12-19 15:15:36.185976+00:00
1112;prx1;0.09;3.27;521736;2025-12-19 15:15:33.709698+00:00
1111;prx3;1.15;24.14;521849;2025-12-19 15:15:26.777518+00:00
1110;prx2;0.15;4.7;521800;2025-12-19 15:15:20.927349+00:00
1109;prx3;0.96;24.14;521841;2025-12-19 15:15:18.412523+00:00
1108;prx3;1.01;24.13;521834;2025-12-19 15:15:11.522195+00:00
1107;prx2;0.15;4.7;521785;2025-12-19 15:15:05.721244+00:00
1106;prx3;0.58;24.14;521825;2025-12-19 15:15:03.067220+00:00
1105;prx3;0.72;24.12;521819;2025-12-19 15:14:56.288851+00:00
1104;prx2;0.16;4.69;521769;2025-12-19 15:14:50.486378+00:00
1103;prx3;0.87;24.13;521810;2025-12-19 15:14:47.805439+00:00
1102;prx3;0.63;24.12;521803;2025-12-19 15:14:41.018933+00:00
1101;prx2;0.15;4.69;521754;2025-12-19 15:14:35.229981+00:00
1100;prx1;0.07;3.26;521675;2025-12-19 15:14:32.508699+00:00
1099;prx3;1.05;24.13;521788;2025-12-19 15:14:25.729496+00:00
1098;prx2;0.17;4.7;521739;2025-12-19 15:14:19.959229+00:00
1097;prx3;0.85;24.13;521780;2025-12-19 15:14:17.239673+00:00
1096;prx3;1.91;24.12;521773;2025-12-19 15:14:10.510561+00:00
1095;prx2;0.12;4.7;521724;2025-12-19 15:14:04.732302+00:00
1094;prx3;0.76;24.14;521764;2025-12-19 15:14:01.983839+00:00
1093;prx3;0.81;24.13;521758;2025-12-19 15:13:55.241938+00:00
1092;prx2;0.15;4.7;521708;2025-12-19 15:13:49.500266+00:00
1091;prx3;0.84;24.13;521749;2025-12-19 15:13:46.741393+00:00
1090;prx3;0.65;24.12;521742;2025-12-19 15:13:39.986816+00:00
1089;prx2;0.15;4.69;521693;2025-12-19 15:13:34.275040+00:00
1088;prx3;0.66;24.12;521734;2025-12-19 15:13:31.470161+00:00
1087;prx3;0.59;24.11;521727;2025-12-19 15:13:24.747319+00:00
1086;prx2;0.15;4.7;521678;2025-12-19 15:13:19.111594+00:00
1085;prx3;0.68;24.11;521719;2025-12-19 15:13:16.252766+00:00
1084;prx3;1.5;24.1;521712;2025-12-19 15:13:09.544473+00:00
1083;prx2;0.14;4.7;521663;2025-12-19 15:13:03.907134+00:00
1082;prx3;0.74;24.11;521703;2025-12-19 15:13:00.992241+00:00
1081;prx3;0.85;24.11;521697;2025-12-19 15:12:54.358852+00:00
1080;prx2;0.14;4.69;521648;2025-12-19 15:12:48.746040+00:00
1079;prx1;0.08;3.24;521568;2025-12-19 15:12:45.777972+00:00
1078;prx3;0.89;24.11;521682;2025-12-19 15:12:39.168558+00:00
1077;prx2;0.15;4.7;521632;2025-12-19 15:12:33.554494+00:00
1076;prx3;0.71;24.12;521673;2025-12-19 15:12:30.555590+00:00
1075;prx3;1.0;24.12;521666;2025-12-19 15:12:23.958971+00:00
1074;prx2;0.16;4.7;521617;2025-12-19 15:12:18.322579+00:00
1073;prx3;0.84;24.13;521658;2025-12-19 15:12:15.330473+00:00
1072;prx3;1.0;24.12;521651;2025-12-19 15:12:08.779442+00:00
1071;prx2;0.14;4.7;521602;2025-12-19 15:12:03.164336+00:00
1070;prx1;0.09;3.26;521523;2025-12-19 15:12:00.109223+00:00
1069;prx3;0.97;24.12;521636;2025-12-19 15:11:53.552315+00:00
1068;prx2;0.15;4.7;521587;2025-12-19 15:11:48.000021+00:00
1067;prx3;0.86;24.13;521627;2025-12-19 15:11:44.890967+00:00
1066;prx3;0.49;24.14;521621;2025-12-19 15:11:38.362904+00:00
1065;prx2;0.14;4.71;521572;2025-12-19 15:11:32.843886+00:00
1064;prx3;0.67;24.14;521612;2025-12-19 15:11:29.647996+00:00
1063;prx3;1.1;24.13;521606;2025-12-19 15:11:23.120522+00:00
1062;prx2;0.19;4.7;521556;2025-12-19 15:11:17.665214+00:00
1061;prx3;1.19;24.15;521597;2025-12-19 15:11:14.365098+00:00
1060;prx3;0.95;24.13;521590;2025-12-19 15:11:07.924482+00:00
1059;prx2;0.14;4.7;521541;2025-12-19 15:11:02.514692+00:00
1058;prx3;0.65;24.14;521582;2025-12-19 15:10:59.146720+00:00
1057;prx3;0.82;24.13;521575;2025-12-19 15:10:52.724508+00:00
1056;prx2;0.15;4.69;521526;2025-12-19 15:10:47.347678+00:00
1055;prx3;0.82;24.14;521566;2025-12-19 15:10:43.868170+00:00
1054;prx3;0.59;24.14;521560;2025-12-19 15:10:37.513670+00:00
1053;prx2;0.15;4.69;521511;2025-12-19 15:10:32.167647+00:00
1052;prx3;0.89;24.16;521551;2025-12-19 15:10:28.382877+00:00
1051;prx3;0.93;24.16;521545;2025-12-19 15:10:22.331192+00:00
1050;prx2;0.15;4.7;521496;2025-12-19 15:10:17.003088+00:00
1049;prx1;0.22;3.27;521416;2025-12-19 15:10:13.165579+00:00
1048;prx3;0.82;24.14;521530;2025-12-19 15:10:07.150431+00:00
1047;prx2;0.16;4.7;521481;2025-12-19 15:10:01.812004+00:00
1046;prx1;0.07;3.26;521401;2025-12-19 15:09:57.928848+00:00
1045;prx3;0.82;24.15;521514;2025-12-19 15:09:51.979133+00:00
1044;prx2;0.15;4.69;521465;2025-12-19 15:09:46.598075+00:00
1043;prx1;0.08;3.27;521385;2025-12-19 15:09:42.696062+00:00
1042;prx3;0.79;24.15;521499;2025-12-19 15:09:36.765483+00:00
1041;prx2;0.0;4.69;521450;2025-12-19 15:09:31.413570+00:00
1040;prx3;0.65;24.16;521490;2025-12-19 15:09:27.427785+00:00
1039;prx3;0.98;24.16;521484;2025-12-19 15:09:21.598789+00:00
1038;prx2;0.16;4.68;521435;2025-12-19 15:09:16.187348+00:00
1037;prx1;0.08;3.26;521355;2025-12-19 15:09:11.902819+00:00
1036;prx3;0.82;24.14;521469;2025-12-19 15:09:06.387035+00:00
1035;prx2;0.15;4.68;521420;2025-12-19 15:09:01.050266+00:00
1034;prx3;0.65;24.15;521459;2025-12-19 15:08:56.632316+00:00
